TARGET                                                                                             SOURCE                                                           FSTYPE                                                                OPTIONS
/                                                                                                  /dev/nvme0n1p3[/root]                                            btrfs                                                                 rw,relatime,seclabel,compress=zstd:1,ssd,discard=async,space_cache=v2,subvolid=256,subvol=/root
|-/dev                                                                                             devtmpfs                                                         devtmpfs                                                              rw,nosuid,seclabel,size=7938312k,nr_inodes=1984578,mode=755,inode64
| |-/dev/hugepages                                                                                 hugetlbfs                                                        hugetlbfs                                                             rw,nosuid,nodev,relatime,seclabel,pagesize=2M
| |-/dev/mqueue                                                                                    mqueue                                                           mqueue                                                                rw,nosuid,nodev,noexec,relatime,seclabel
| |-/dev/shm                                                                                       tmpfs                                                            tmpfs                                                                 rw,nosuid,nodev,seclabel,inode64,usrquota
| `-/dev/pts                                                                                       devpts                                                           devpts                                                                rw,nosuid,noexec,relatime,seclabel,gid=5,mode=600,ptmxmode=000
|-/sys                                                                                             sysfs                                                            sysfs                                                                 rw,nosuid,nodev,noexec,relatime,seclabel
| |-/sys/fs/selinux                                                                                selinuxfs                                                        selinuxfs                                                             rw,nosuid,noexec,relatime
| |-/sys/kernel/debug                                                                              debugfs                                                          debugfs                                                               rw,nosuid,nodev,noexec,relatime,seclabel
| |-/sys/kernel/tracing                                                                            tracefs                                                          tracefs                                                               rw,nosuid,nodev,noexec,relatime,seclabel
| |-/sys/fs/fuse/connections                                                                       fusectl                                                          fusectl                                                               rw,nosuid,nodev,noexec,relatime
| |-/sys/kernel/security                                                                           securityfs                                                       securityfs                                                            rw,nosuid,nodev,noexec,relatime
| |-/sys/fs/cgroup                                                                                 cgroup2                                                          cgroup2                                                               rw,nosuid,nodev,noexec,relatime,seclabel,nsdelegate,memory_recursiveprot
| |-/sys/fs/pstore                                                                                 none                                                             pstore                                                                rw,nosuid,nodev,noexec,relatime,seclabel
| |-/sys/firmware/efi/efivars                                                                      efivarfs                                                         efivarfs                                                              rw,nosuid,nodev,noexec,relatime
| |-/sys/fs/bpf                                                                                    bpf                                                              bpf                                                                   rw,nosuid,nodev,noexec,relatime,mode=700
| `-/sys/kernel/config                                                                             configfs                                                         configfs                                                              rw,nosuid,nodev,noexec,relatime
|-/proc                                                                                            proc                                                             proc                                                                  rw,nosuid,nodev,noexec,relatime
| `-/proc/sys/fs/binfmt_misc                                                                       systemd-1                                                        autofs                                                                rw,relatime,fd=42,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=15639
|   `-/proc/sys/fs/binfmt_misc                                                                     binfmt_misc                                                      binfmt_misc                                                           rw,nosuid,nodev,noexec,relatime
|-/run                                                                                             tmpfs                                                            tmpfs                                                                 rw,nosuid,nodev,seclabel,size=3231004k,nr_inodes=819200,mode=755,inode64
| |-/run/credentials/systemd-journald.service                                                      tmpfs                                                            tmpfs                                                                 ro,nosuid,nodev,noexec,relatime,nosymfollow,seclabel,size=1024k,nr_inodes=1024,mode=700,inode64,noswap
| |-/run/credentials/systemd-resolved.service                                                      tmpfs                                                            tmpfs                                                                 ro,nosuid,nodev,noexec,relatime,nosymfollow,seclabel,size=1024k,nr_inodes=1024,mode=700,inode64,noswap
| |-/run/user/0                                                                                    tmpfs                                                            tmpfs                                                                 rw,nosuid,nodev,relatime,seclabel,size=1615500k,nr_inodes=403875,mode=700,inode64
| |-/run/user/1000                                                                                 tmpfs                                                            tmpfs                                                                 rw,nosuid,nodev,relatime,seclabel,size=1615500k,nr_inodes=403875,mode=700,uid=1000,gid=1000,inode64
| | |-/run/user/1000/gvfs                                                                          gvfsd-fuse                                                       fuse.gvfsd-fuse                                                       rw,nosuid,nodev,relatime,user_id=1000,group_id=1000
| | `-/run/user/1000/doc                                                                           portal                                                           fuse.portal                                                           rw,nosuid,nodev,relatime,user_id=1000,group_id=1000
| `-/run/docker/netns/35d41ef3e1eb                                                                 nsfs[net:[4026533423]]                                           nsfs                                                                  rw
|-/home                                                                                            /dev/nvme0n1p3[/home]                                            btrfs                                                                 rw,relatime,seclabel,compress=zstd:1,ssd,discard=async,space_cache=v2,subvolid=257,subvol=/home
|-/tmp                                                                                             tmpfs                                                            tmpfs                                                                 rw,nosuid,nodev,seclabel,size=8077508k,nr_inodes=1048576,inode64,usrquota
| `-/tmp/.mount_SnipasI5G6zi                                                                       Snipaste-2.11.3-x86_64_9fa0ae9967819a4a166804ebf074147e.AppImage fuse.Snipaste-2.11.3-x86_64_9fa0ae9967819a4a166804ebf074147e.AppImage ro,nosuid,nodev,relatime,user_id=1000,group_id=1000
|-/boot                                                                                            /dev/nvme0n1p2                                                   ext4                                                                  rw,relatime,seclabel
| `-/boot/efi                                                                                      /dev/nvme0n1p1                                                   vfat                                                                  rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=ascii,shortname=winnt,errors=remount-ro
|-/var/lib/nfs/rpc_pipefs                                                                          sunrpc                                                           rpc_pipefs                                                            rw,relatime
`-/var/lib/docker/overlay2/6bae45809e13a909f920e356e36f57b7e58a5c495abfbd6cab9f630a276b0ecc/merged overlay                                                          overlay                                                               rw,relatime,seclabel,lowerdir=/var/lib/docker/overlay2/l/YSXBAEHRJ545HNSLEBY7XMTXBR:/var/lib/docker/overlay2/l/EFP4RUN44PPH5EHQMVFEYMHVZK:/var/lib/docker/overlay2/l/NOTYILJ64UKHISBUMIRS6VK5Y5:/var/lib/docker/overlay2/l/JB6CGMQHLQJZ4MXRTHQOTZAXAE:/var/lib/docker/overlay2/l/4XCYDA2IPLOST6KYHJXEUPXYTK:/var/lib/docker/overlay2/l/V4WP4FWFHVVQMUR5LYGRJWUYRQ,upperdir=/var/lib/docker/overlay2/6bae45809e13a909f920e356e36f57b7e58a5c495abfbd6cab9f630a276b0ecc/diff,workdir=/var/lib/docker/overlay2/6bae45809e13a909f920e356e36f57b7e58a5c495abfbd6cab9f630a276b0ecc/work
