CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 2200.0000 800.0000 1420.8760
  1    0      0    0 0:0:0:0          yes 2200.0000 800.0000 1380.4680
  2    0      0    1 4:4:1:0          yes 2200.0000 800.0000  800.3060
  3    0      0    1 4:4:1:0          yes 2200.0000 800.0000  800.0000
  4    0      0    2 8:8:2:0          yes 2200.0000 800.0000  922.0500
  5    0      0    2 8:8:2:0          yes 2200.0000 800.0000  800.0000
  6    0      0    3 12:12:3:0        yes 2200.0000 800.0000 1645.8719
  7    0      0    3 12:12:3:0        yes 2200.0000 800.0000 1700.0000
  8    0      0    4 16:16:4:0        yes 2200.0000 800.0000  800.1810
  9    0      0    4 16:16:4:0        yes 2200.0000 800.0000  800.0000
 10    0      0    5 20:20:5:0        yes 2200.0000 800.0000  800.3470
 11    0      0    5 20:20:5:0        yes 2200.0000 800.0000  800.0000
 12    0      0    6 24:24:6:0        yes 2200.0000 800.0000 1275.0570
 13    0      0    6 24:24:6:0        yes 2200.0000 800.0000 1082.2520
 14    0      0    7 28:28:7:0        yes 2200.0000 800.0000  800.3140
 15    0      0    7 28:28:7:0        yes 2200.0000 800.0000  800.0000
 16    0      0    8 32:32:8:0        yes 1600.0000 800.0000 1564.4730
 17    0      0    9 33:33:8:0        yes 1600.0000 800.0000 1601.0360
 18    0      0   10 34:34:8:0        yes 1600.0000 800.0000  919.9200
 19    0      0   11 35:35:8:0        yes 1600.0000 800.0000 1022.2640
 20    0      0   12 36:36:9:0        yes 1600.0000 800.0000  799.7760
 21    0      0   13 37:37:9:0        yes 1600.0000 800.0000  995.1340
 22    0      0   14 38:38:9:0        yes 1600.0000 800.0000  800.0000
 23    0      0   15 39:39:9:0        yes 1600.0000 800.0000  800.3270
 24    0      0   16 40:40:10:0       yes 1600.0000 800.0000  799.3650
 25    0      0   17 41:41:10:0       yes 1600.0000 800.0000  800.7420
 26    0      0   18 42:42:10:0       yes 1600.0000 800.0000  800.2250
 27    0      0   19 43:43:10:0       yes 1600.0000 800.0000  800.7120
 28    0      0   20 44:44:11:0       yes 1600.0000 800.0000  799.7850
 29    0      0   21 45:45:11:0       yes 1600.0000 800.0000  801.4230
 30    0      0   22 46:46:11:0       yes 1600.0000 800.0000 1437.3740
 31    0      0   23 47:47:11:0       yes 1600.0000 800.0000  800.0210
