CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 2200.0000 800.0000 1610.8610
  1    0      0    0 0:0:0:0          yes 2200.0000 800.0000 1489.3020
  2    0      0    1 4:4:1:0          yes 2200.0000 800.0000 1564.4810
  3    0      0    1 4:4:1:0          yes 2200.0000 800.0000 1734.2500
  4    0      0    2 8:8:2:0          yes 2200.0000 800.0000  800.1380
  5    0      0    2 8:8:2:0          yes 2200.0000 800.0000 1390.9130
  6    0      0    3 12:12:3:0        yes 2200.0000 800.0000 1231.2090
  7    0      0    3 12:12:3:0        yes 2200.0000 800.0000  800.0000
  8    0      0    4 16:16:4:0        yes 2200.0000 800.0000 1158.9930
  9    0      0    4 16:16:4:0        yes 2200.0000 800.0000  800.0000
 10    0      0    5 20:20:5:0        yes 2200.0000 800.0000 2200.0000
 11    0      0    5 20:20:5:0        yes 2200.0000 800.0000 2200.0000
 12    0      0    6 24:24:6:0        yes 2200.0000 800.0000  800.9270
 13    0      0    6 24:24:6:0        yes 2200.0000 800.0000 1496.4880
 14    0      0    7 28:28:7:0        yes 2200.0000 800.0000 2200.0220
 15    0      0    7 28:28:7:0        yes 2200.0000 800.0000 2199.4729
 16    0      0    8 32:32:8:0        yes 1600.0000 800.0000 1076.9000
 17    0      0    9 33:33:8:0        yes 1600.0000 800.0000 1105.0780
 18    0      0   10 34:34:8:0        yes 1600.0000 800.0000 1340.2430
 19    0      0   11 35:35:8:0        yes 1600.0000 800.0000 1114.0410
 20    0      0   12 36:36:9:0        yes 1600.0000 800.0000  799.9410
 21    0      0   13 37:37:9:0        yes 1600.0000 800.0000  799.3690
 22    0      0   14 38:38:9:0        yes 1600.0000 800.0000 1599.9230
 23    0      0   15 39:39:9:0        yes 1600.0000 800.0000 1160.3710
 24    0      0   16 40:40:10:0       yes 1600.0000 800.0000 1597.8680
 25    0      0   17 41:41:10:0       yes 1600.0000 800.0000 1598.4430
 26    0      0   18 42:42:10:0       yes 1600.0000 800.0000 1601.7920
 27    0      0   19 43:43:10:0       yes 1600.0000 800.0000 1599.9570
 28    0      0   20 44:44:11:0       yes 1600.0000 800.0000  798.7050
 29    0      0   21 45:45:11:0       yes 1600.0000 800.0000  800.0000
 30    0      0   22 46:46:11:0       yes 1600.0000 800.0000  800.1650
 31    0      0   23 47:47:11:0       yes 1600.0000 800.0000  799.1200
